Primary Program,Primary Program Title
CNCS.BS,Computer Networking & Cybersecurity-BS
INPS.BS,"Integrative Professional Studies, BS"
GPMG.BS,Game Production Management
GMRT.BFA,"Game Art, BFA"
BUSI.BSBA,Business Administration - BSBA
ACCT3.BS,"Accounting, B.S."
EDUC.BS,"Education, B.S."
UNDCL.BS,Undeclared
DIGF.BS,Computer & Digital Forensics-BS
VCDS.BFA,Graphic Design & Visual Communication - BFA
GDES.BS,Game Design - BS
CSIN.BS,Computer Science and Innovation - BS
GMBP.BS,"Game Business and Publishing, B.S."
SOWK.BSW,Social Work-BSW
ANIM.BFA,"Animation, BFA"
ACCT.BS,Accounting-BS
MRKT.BS,Marketing-BS
GMSD.BS,"Game Sound Design, B.S."
FILM.BFA,Filmmaking - BFA
PSYC.BS,Psychology-BS
GPRO.BS,Game Programming - BS
CREM.BFA,Creative Media-BFA
IBUS.BS,International Business-BS
CRCJ.BS,Criminology and Criminal Justice-BS
PWRT.BS,Professional Writing-BS
UN.CCM.BS,Undeclared - Communication & Creative Media Division
CRIM.BS,Criminal Justice-BS
IXDS.BS,"Interaction Design, B.S."
ASUS.BS,"Applied Sustainability, B.S."
FINA.BS,Finance - BS
GMRT.BS,"Game Art, BS"
MKCM.BS,"Marketing Communication, B.S."
INAR.BS,"Interactive Narrative for Games and Digital Media, B.S."
BRMP.BS,Broadcast Media Production
LAW.BA,Law - BA
COMM.BS,Communication-BS
WRPB.BS,"Writing and Publishing, BS"
MATH.BS,"Applied Mathematics, BS"
EDUC.ELED.BS,Early Childhood/Elementary Education-BS
ENPS.BS,Environmental Studies and Policy
DATA.BS,Data Analytics
DATS.BS,"Data Science, BS"
UN.ITS.BS,Undeclared - Information Technology & Science
UN.BUS.BS,Undeclared - Business Division
DHMS.BS,"Digital Humanities, B.S."
