"Str Student","Restriction","Start Date","End Date","Class","Credits - Current Registered Credits + Completed Credits","Credits - Completed Credits Undergrad ONLY","Active Programs","Student Restrictions Id"
"1280288","INS26","2026-03-01","","FY","46.00","34.00","ANIM.BFA","351361"
"1282315","INS26","2026-03-01","","FY","50.00","38.00","CNCS.BS","351362"
"1273697","INS26","2026-03-01","2026-03-22","SO","90.00","77.00","PSYC.BS","351363"
"1271616","INS26","2026-03-01","2026-03-16","JR","97.00","82.00","GMSD.BS","351364"
"1282913","INS26","2026-03-01","2026-03-23","SO","59.00","50.00","CNCS.BS","351365"
"1275237","INS26","2026-03-01","2026-03-22","SO","78.00","65.00","SOWK.BSW","351366"
"1269002","INS26","2026-03-01","","JR","95.00","78.00","PWRT.BS","351367"
"1269859","INS26","2026-03-01","2026-03-22","SO","84.00","68.00","CNCS.BS","351368"
"1274938","INS26","2026-03-01","2026-03-10","JR","94.00","78.00","IXDS.BS","351369"
"1273356","INS26","2026-03-01","2026-03-24","JR","97.00","85.00","GPMG.BS","351370"
"1289512","INS26","2026-03-01","2026-03-26","FY","32.00","16.00","PSYC.BS","351371"
"1278758","INS26","2026-03-01","2026-03-18","FY","51.00","36.00","MKCM.BS","351372"
"1282340","INS26","2026-03-01","","FY","24.00","12.00","CREM.BFA","351373"
"1273667","INS26","2026-03-01","","SO","66.00","50.00","FILM.BFA","351374"
"1282430","INS26","2026-03-01","","FY","52.00","37.00","GMSD.BS","351375"
"1274205","INS26","2026-03-01","2026-03-22","JR","102.00","87.00","CNCS.BS","351376"
"1282968","INS26","2026-03-01","2026-03-18","SO","61.00","45.00","GDES.BS","351377"
"1282907","INS26","2026-03-01","2026-03-25","SO","57.00","42.00","INPS.BS","351378"
"1287009","INS26","2026-03-01","2026-03-23","FY","27.00","15.00","GMSD.BS","351379"
"1281259","INS26","2026-03-01","2026-03-11","SO","61.00","48.00","GDES.BS","351380"
"1288135","INS26","2026-03-01","","FY","30.00","15.00","GPRO.BS","351381"
"1277479","INS26","2026-03-01","2026-03-11","JR","94.00","79.00","VCDS.BFA","351382"
"1274528","INS26","2026-03-01","2026-03-19","SO","91.00","75.00","VCDS.BFA","351383"
"1279458","INS26","2026-03-01","","FY","21.00","15.00","BUSI.BSBA","351384"
"1279095","INS26","2026-03-01","2026-03-05","SO","62.00","45.00","CNCS.BS","351385"
"1254764","INS26","2026-03-01","","JR","85.00","73.00","GPMG.BS","351386"
"1280206","INS26","2026-03-01","","FY","46.00","33.00","CREM.BFA","351387"
"1281637","INS26","2026-03-01","2026-03-19","FY","57.00","42.00","CNCS.BS","351388"
"1268456","INS26","2026-03-01","2026-03-18","JR","91.00","76.00","IBUS.BS","351389"
"1288639","INS26","2026-03-01","2026-03-15","FY","30.00","15.00","CSIN.BS","351390"
"1278407","INS26","2026-03-01","2026-03-15","SO","66.00","50.00","FILM.BFA","351391"
"1275085","INS26","2026-03-01","2026-03-22","JR","97.00","81.00","VCDS.BFA","351392"
"1271292","INS26","2026-03-01","","SO","83.00","67.00","INAR.BS","351393"
"1274270","INS26","2026-03-01","","JR","102.00","86.00","FINA.BS","351394"
"1274955","INS26","2026-03-01","2026-03-02","JR","93.00","77.00","ACCT.BS","351395"
"1274546","INS26","2026-03-01","2026-03-22","JR","90.00","78.00","FILM.BFA","351396"
"1286754","INS26","2026-03-01","2026-03-15","FY","19.00","7.00","UN.CCM.BS","351397"
"1274940","INS26","2026-03-01","","SO","66.00","54.00","VCDS.BFA","351398"
"1287184","INS26","2026-03-01","2026-03-18","FY","24.00","9.00","INAR.BS","351399"
"1288468","INS26","2026-03-01","2026-03-23","FY","24.00","12.00","SOWK.BSW","351400"
"1285273","INS26","2026-03-01","2026-03-03","JR","88.00","75.00","INAR.BS","351401"
"1280269","INS26","2026-03-01","2026-03-23","SO","64.00","48.00","GMSD.BS","351402"
"1275002","INS26","2026-03-01","2026-03-23","JR","94.00","78.00","PSYC.BS","351403"
"1272096","INS26","2026-03-01","2026-03-19","JR","94.00","81.00","IXDS.BS","351404"
"1274145","INS26","2026-03-01","2026-03-22","SO","73.00","61.00","INAR.BS","351405"
"1281152","INS26","2026-03-01","","SO","66.00","51.00","GDES.BS","351406"
"1257448","INS26","2026-03-01","2026-03-24","SO","79.00","67.00","CNCS.BS","351407"
"1288005","INS26","2026-03-01","2026-03-29","FY","31.00","16.00","WRPB.BS","351408"
"1269319","INS26","2026-03-01","2026-03-10","SO","87.00","72.00","BUSI.BSBA","351409"
"1282363","INS26","2026-03-01","","SO","76.00","64.00","GDES.BS","351410"
"1243589","INS26","2026-03-01","","JR","90.00","78.00","VCDS.BFA","351411"
"1286869","INS26","2026-03-01","2026-03-18","FY","30.00","15.00","GDES.BS","351412"
"1278742","INS26","2026-03-01","","SO","63.00","48.00","DIGF.BS","351413"
"1274311","INS26","2026-03-01","","JR","97.00","82.00","CNCS.BS","351414"
"1273134","INS26","2026-03-01","2026-03-22","JR","95.00","77.00","CNCS.BS","351415"
"1279433","INS26","2026-03-01","2026-03-23","SO","60.00","47.00","FILM.BFA","351416"
"1288066","INS26","2026-03-01","2026-03-25","FY","27.00","15.00","ANIM.BFA","351417"
"1286487","INS26","2026-03-01","","SO","76.00","61.00","GDES.BS","351418"
"1283538","INS26","2026-03-01","","FY","51.00","36.00","ANIM.BFA","351419"
"1287533","INS26","2026-03-01","2026-03-26","FY","39.00","24.00","CSIN.BS","351420"
"1275026","INS26","2026-03-01","2026-03-24","SO","82.00","69.00","CREM.BFA","351421"
"1274425","INS26","2026-03-01","2026-03-23","SO","79.00","63.00","BUSI.BSBA","351422"
"1274201","INS26","2026-03-01","2026-03-22","SO","76.00","60.00","FILM.BFA","351423"
"1268135","INS26","2026-03-01","2026-03-22","JR","94.00","79.00","ANIM.BFA","351424"
"1288290","INS26","2026-03-01","","FY","27.00","15.00","ANIM.BFA","351425"
"1281611","INS26","2026-03-01","2026-03-25","SO","70.00","57.00","GDES.BS","351426"
"1268435","INS26","2026-03-01","2026-03-22","JR","96.00","81.00","GPRO.BS","351427"
"1278952","INS26","2026-03-01","","SO","61.00","48.00","INAR.BS","351428"
"1287817","INS26","2026-03-01","2026-03-30","FY","33.00","18.00","INAR.BS","351429"
"1286465","INS26","2026-03-01","2026-03-22","FY","39.00","27.00","GMRT.BFA","351430"
"1279825","INS26","2026-03-01","2026-03-25","FY","52.00","39.00","GMRT.BFA","351431"
"1271767","INS26","2026-03-01","2026-03-23","SO","84.00","68.00","FILM.BFA","351432"
"1287479","INS26","2026-03-01","2026-03-18","FY","36.00","21.00","GMRT.BFA","351433"
"1282574","INS26","2026-03-01","2026-03-08","SO","62.00","47.00","CNCS.BS","351434"
"1268610","INS26","2026-03-01","2026-03-05","JR","113.00","98.00","CNCS.BS","351435"
"1274706","INS26","2026-03-01","2026-03-22","JR","104.00","89.00","ACCT.BS","351436"
"1273851","INS26","2026-03-01","2026-03-23","SO","88.00","73.00","GMRT.BFA","351437"
"1260137","INS26","2026-03-01","2026-03-24","SO","86.00","72.00","EDUC.BS","351438"
"1289056","INS26","2026-03-01","2026-03-03","FY","24.00","12.00","IXDS.BS","351439"
"1275368","INS26","2026-03-01","2026-03-23","SO","73.00","58.00","GPRO.BS","351440"
"1282043","INS26","2026-03-01","2026-03-25","SO","52.00","39.00","CREM.BFA","351441"
"1278413","INS26","2026-03-01","2026-03-23","SO","61.00","45.00","FILM.BFA","351442"
"1273159","INS26","2026-03-01","2026-03-15","JR","99.00","84.00","CSIN.BS","351443"
"1280659","INS26","2026-03-01","2026-03-22","SO","61.00","45.00","GDES.BS","351444"
"1287270","INS26","2026-03-01","2026-03-15","FY","30.00","15.00","CNCS.BS","351445"
"1285024","INS26","2026-03-01","","JR","91.00","76.00","CREM.BFA","351446"
"1274612","INS26","2026-03-01","2026-03-24","SO","87.00","74.00","FILM.BFA","351447"
"1276935","INS26","2026-03-01","2026-03-18","SO","64.00","49.00","GMRT.BFA","351448"
"1273313","INS26","2026-03-01","2026-03-29","SO","80.00","65.00","MRKT.BS","351449"
"1287895","INS26","2026-03-01","2026-03-25","FY","28.00","16.00","CRCJ.BS","351450"
"1272382","INS26","2026-03-01","2026-03-18","SO","90.00","74.00","SOWK.BSW","351451"
"1274953","INS26","2026-03-01","","JR","94.00","79.00","GPRO.BS","351452"
"1271283","INS26","2026-03-01","2026-03-22","SO","85.00","72.00","CREM.BFA","351453"
"1280494","INS26","2026-03-01","2026-03-23","SO","61.00","46.00","GMRT.BFA","351454"
"1268786","INS26","2026-03-01","2026-03-08","JR","107.00","92.00","GPRO.BS","351455"
"1282707","INS26","2026-03-01","","FY","50.00","37.00","CREM.BFA","351456"
"1281614","INS26","2026-03-01","2026-03-22","SO","63.00","48.00","CSIN.BS","351457"
